Land,Hotel,HotelCity,Training,TrainingCity
Belgien,Les Bains de Saillon Hôtel,Saillon,Stade Saint-Laurent,Saillon
Dänemark,Hôtel Beaulac Neuchâtel,Neuchâtel,Stade des Buchilles,Boudry
England,The Dolder Grand,Zürich,Sportanlage Au,Opfikon
Finnland,InterContinental Genève,Geneva,Centre Sportif de Versoix,Versoix
Frankreich,Hotel Heiden,Heiden,Sportanlage Bützel,Staad
Deutschland,FIVE Zürich,Zürich,Sportzentrum Buchlern,Zürich
Island,Parkhotel Gunten,Gunten,Sportplatz Zelgli,Thun
Italien,Campus Hotel Hertenstein,Weggis,Thermoplan Arena,Weggis
Niederlande,Belvédère Strandhotel,Spiez,Stadion Lachen,Thun
Norwegen,Beau-Rivage Hôtel Neuchâtel,Neuchâtel,Stade des Chézards,Colombier
Polen,SeminarHotel am Ägerisee,Unterägeri,Stadion Herti Allmend,Zug
Portugal,Geneva Marriott Hotel,Geneva,Stade des Arbères,Meyrin
Spanien,Royal Savoy Hôtel & Spa Lausanne,Lausanne,Stade Juan-Antonio-Samaranch,Lausanne
Schweden,On Your Marks,Cham,Eizmoos,Cham
Schweiz,Hotel Seepark Thun,Thun,FC Dürrenast,Thun
Wales,Wellneshotel Golfpanorama,Lipperswil,Sportanlage Güttingersreuti,Weinfelden